STOCK,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,WEEKLY_RETURNS_%,MA_4W,RSI
BEL,2021-10-31,69.23,69.6,65.43,67.28,70310000.0,-2.422044960116032,68.39,59.95137200416812
BEL,2021-11-07,67.18,76,67.18,74.53,150160000.0,10.775862068965525,69.47749999999999,74.36286407766991
BEL,2021-11-14,74.92,75.33,69.47,69.62,63480000.0,-6.5879511606064645,70.095,65.23822198562684
BEL,2021-11-21,69.97,70.98,65.53,66.07,78570000.0,-5.099109451307116,69.375,61.32099074305729
BEL,2021-11-28,65.42,69.93,62.93,68.88,86970000.0,4.253064931133643,69.775,59.34788325006573
BEL,2021-12-05,68.88,71.57,68.07,68.52,78060000.0,-0.5226480836236891,68.2725,53.41578327444051
BEL,2021-12-12,68.93,70.97,66.77,67.1,96250000.0,-2.072387624051375,67.6425,52.036718301778514
BEL,2021-12-19,66.97,69.92,63.88,68.02,54550000.0,1.3710879284649868,68.13,49.37935210414773
BEL,2021-12-26,68,71,67.17,69.98,98890000.0,2.881505439576615,68.405,52.11912943871707
BEL,2022-01-02,69.92,73.02,69.17,69.35,74060000.0,-0.9002572163475442,68.6125,53.061224489795904
BEL,2022-01-09,69.65,74.03,69.08,73.37,66830000.0,5.796683489545806,70.17999999999999,58.79862397459645
BEL,2022-01-16,74,74.27,68.33,68.98,115160000.0,-5.983371950388438,70.42,48.450413223140494
BEL,2022-01-23,68.98,70.33,64.73,69.03,98210000.0,0.07248477819656873,70.1825,52.63010632344711
BEL,2022-01-30,71.57,73.25,67.78,68.27,142870000.0,-1.10097059249602,69.91250000000001,49.020172910662815
BEL,2022-02-06,68.3,68.6,65.47,66.78,83520000.0,-2.1825106195986432,68.265,49.27578215527231
BEL,2022-02-13,65.67,68.22,64.2,66.67,85910000.0,-0.16471997604072808,67.6875,35.646457268078905
BEL,2022-02-20,66,67.28,62.33,66.72,88400000.0,0.07499625018747569,67.11,43.56127886323268
BEL,2022-02-27,65.68,74.92,65.4,71.63,161950000.0,7.3591127098321385,67.95,61.64154103852595
BEL,2022-03-06,70.93,75.5,68.85,71.6,155630000.0,-0.04188189306156831,69.155,56.445497630331744
BEL,2022-03-13,72,72.03,67.75,69.8,111750000.0,-2.5139664804469275,69.9375,52.8393966282165
BEL,2022-03-20,70,71.47,68.08,68.67,129350000.0,-1.6189111747850982,70.425,53.52808988764046
BEL,2022-03-27,68.67,72.33,67.85,71.7,115330000.0,4.412407164700749,70.4425,57.553366174055846
BEL,2022-04-03,72.5,80.73,71.93,79.87,336180000.0,11.394700139470014,72.51,66.17598953222114
BEL,2022-04-10,80.62,83.42,79.15,82.37,122450000.0,3.130086390384368,75.6525,70.06781750924786
BEL,2022-04-17,82,86.5,81.42,83.88,174790000.0,1.8331916960058203,79.455,67.5576344804544
BEL,2022-04-24,83.33,84.47,78.92,79.52,77450000.0,-5.197901764425373,81.41,67.62541806020067
BEL,2022-05-01,78.33,79.95,75.75,76.05,65640000.0,-4.363682092555332,80.455,60.534213685474185
BEL,2022-05-08,75,76.47,71.92,72.92,89820000.0,-4.115713346482575,78.0925,56.51442981227236
BEL,2022-05-15,72.93,79.45,72.1,78.32,80100000.0,7.40537575425122,76.7025,64.57070707070707
BEL,2022-05-22,78.75,80.07,73.03,76.97,87110000.0,-1.7236976506639357,76.065,62.61018609206661
BEL,2022-05-29,77.97,83.18,76.33,80.75,93470000.0,4.91100428738469,77.24,65.73928651559346
